Alpha,C_P001,C_P002,C_P003,C_P004,C_P005,C_P006,C_P007,C_P008,C_P009,C_P010,C_P011,C_P012,C_P013,C_P014,C_P015,C_P016,C_P017,C_P018,C_P019,C_P020,C_P021,C_P022,C_P023,C_P024,C_P025
degrees,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.389,-0.465,-0.640,-0.823,-0.901,-0.820,-0.767,-0.766,-0.674,-0.595,-0.606,-0.595,-0.552,-0.502,-0.459,-0.458,-0.444,-0.463,-0.291,-0.110,-0.073,-0.045,0.018,0.053,0.117
3,0.793,-0.109,-0.351,-0.617,-0.745,-0.707,-0.675,-0.690,-0.605,-0.537,-0.556,-0.550,-0.514,-0.464,-0.416,-0.406,-0.393,-0.405,-0.375,-0.198,-0.052,-0.023,0.030,0.060,0.115
2,0.997,0.157,-0.085,-0.415,-0.597,-0.578,-0.568,-0.607,-0.535,-0.468,-0.502,-0.507,-0.470,-0.421,-0.379,-0.364,-0.345,-0.352,-0.318,-0.306,-0.119,-0.004,0.048,0.066,0.099
1,1.045,0.391,0.155,-0.235,-0.458,-0.470,-0.476,-0.524,-0.471,-0.411,-0.452,-0.460,-0.432,-0.390,-0.345,-0.324,-0.304,-0.310,-0.273,-0.253,-0.258,-0.040,0.063,0.075,0.077
0,1.035,0.614,0.404,-0.027,-0.297,-0.346,-0.373,-0.432,-0.389,-0.341,-0.392,-0.404,-0.378,-0.346,-0.305,-0.280,-0.261,-0.260,-0.223,-0.199,-0.201,-0.121,0.074,0.112,0.108
-1,0.906,0.752,0.592,0.142,-0.162,-0.240,-0.283,-0.356,-0.321,-0.281,-0.341,-0.353,-0.336,-0.313,-0.273,-0.254,-0.230,-0.220,-0.180,-0.153,-0.155,-0.175,0.010,0.127,0.084
-2,0.664,0.835,0.728,0.277,-0.050,-0.131,-0.195,-0.281,-0.251,-0.224,-0.286,-0.303,-0.295,-0.273,-0.240,-0.226,-0.202,-0.188,-0.146,-0.112,-0.118,-0.126,-0.106,0.075,0.073
-3,0.339,0.863,0.852,0.412,0.055,-0.044,-0.119,-0.218,-0.194,-0.178,-0.242,-0.270,-0.267,-0.249,-0.218,-0.205,-0.185,-0.169,-0.119,-0.086,-0.083,-0.090,-0.073,-0.030,0.073
-4,-0.020,0.856,0.930,0.517,0.142,0.044,-0.045,-0.149,-0.134,-0.124,-0.186,-0.226,-0.228,-0.215,-0.194,-0.182,-0.163,-0.151,-0.099,-0.064,-0.056,-0.060,-0.039,-0.052,0.070
-5,-0.327,0.858,1.022,0.630,0.251,0.136,0.023,-0.070,-0.070,-0.055,-0.135,-0.180,-0.183,-0.174,-0.157,-0.148,-0.128,-0.124,-0.073,-0.035,-0.022,-0.027,-0.004,-0.017,0.053
-6,-0.627,0.820,1.065,0.725,0.343,0.223,0.103,0.005,-0.006,0.005,-0.083,-0.130,-0.139,-0.135,-0.122,-0.117,-0.096,-0.097,-0.046,-0.008,0.008,0.004,0.029,0.019,0.030
