Alpha,q_inf,"P_s, inf",U inf,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096
degrees,,,,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
10.5,241.73,758.82,20.285,294.36,293.65,295.11,263.53,261.77,293.76,298.38,302.61,261.2,292.55,292.66,261.77,254.89,276.98,247.37,236.33,192.27,195.74,216.02,239.1,256.66,266.49,271.45,271.61,268.65,269.46,268.95,270.36,265.23,268.92,272.07,261.13,264.05,266.89,265.15,267.62,268.09,264.91,263.56,262.53,264.39,265.32,266.5,268.44,267.56,265.74,266.5
10,242.78,757.77,20.328,291.59,290.8,292.35,260.76,258.83,290.71,295.6,299.87,258.64,289.76,290.04,259.74,255.41,281.49,253.97,241.1,195.38,198.93,220.23,243.38,258.1,265.07,268.94,268.75,265.87,266.63,266.31,267.52,262.6,265.9,269.21,258.35,263.08,265.04,264.21,266.68,267.08,263.91,262.71,261.65,263.53,264.42,265.58,267.44,266.62,264.87,265.54
9,242.90,757.65,20.333,291.97,291.42,292.75,261.31,259.24,291.09,295.96,300.36,258.99,290.19,290.46,260.37,257.6,290.4,275.33,264.43,207.64,198.28,214.27,240.3,258.15,265.58,269.49,269.09,266.34,267.26,266.77,267.89,263.03,266.29,269.66,258.84,264.52,265.69,265.71,268.12,268.63,265.4,264.22,263.11,265.02,265.79,267.07,268.97,268.17,266.22,267.22
8,245.80,754.75,20.455,294.5,293.92,295.29,263.88,261.83,293.73,298.79,302.91,261.46,292.83,293.03,262.72,260.33,294.37,286.41,290.47,236.85,211.82,207.22,227.14,252.06,266.74,271.85,271.88,269.04,269.89,269.4,270.8,265.58,269.23,272.36,261.49,265.35,266.88,266.59,269.08,269.57,266.32,265.11,263.92,265.92,266.76,267.99,269.94,269.03,267.14,268.13
7,239.15,761.40,20.176,290.55,289.82,291.39,259.83,257.74,289.56,294.39,298.75,257.5,288.7,288.92,258.84,256.03,290.04,283.35,294.82,258.32,237.2,212.86,209.76,231,254.45,266.96,267.11,264.78,265.54,265.23,266.38,261.56,264.85,268.15,257.24,261.26,264.22,262.3,264.81,265.15,262.22,260.65,259.81,261.65,262.6,263.6,265.62,264.61,262.92,263.74
6,243.41,757.14,20.355,290.12,289.5,291.13,259.38,257.49,289.12,294.1,298.33,257.32,288.37,288.63,258.43,255.78,289.78,283.03,294.57,262.74,257.6,240.78,217,214.61,234.8,256.32,265.11,264.37,265.21,264.97,266.04,261.21,264.42,267.86,256.91,261.72,263.92,262.67,265.23,265.54,262.61,260.9,260.27,261.99,263.07,264,265.96,265.03,263.34,264.08
5,247.11,753.44,20.509,294.78,294.38,295.69,264.08,262.12,294.33,299.02,303.33,261.8,293.2,293.36,262.94,260.81,294.79,287.44,299.36,267.68,266.09,263.93,245.65,223.53,224.86,242.52,258.84,265.68,269.76,269.72,270.94,265.87,269.49,272.66,261.7,265.52,267.46,267,269.25,269.76,266.64,265.45,264.14,266.19,266.96,268.13,270.26,269.24,267.4,268.34
4,243.29,757.26,20.350,292.4,291.71,293.02,261.67,259.56,291.41,296.32,300.56,259.27,290.56,290.93,260.37,257.97,291.97,285.03,296.85,264.8,263.25,264.06,260.85,243.52,227.07,227.84,240.19,252.58,264.17,266.81,268.26,263.4,266.84,269.98,259.07,263.29,265.16,264.23,266.82,266.93,263.99,262.76,261.71,263.58,264.7,265.54,267.63,266.66,264.84,265.58
3,244.64,755.91,20.406,295.72,295.02,296.4,264.92,263.04,294.99,299.93,304,262.55,293.95,294.16,263.61,261.45,295.53,288.23,300,268.31,266.98,267.75,266.67,263.35,250.92,236.16,231.46,238.94,256.28,266.54,271.22,266.53,270.3,273.46,262.54,264.68,267.82,265.77,268.28,268.66,265.52,264.39,263.1,265.11,266.11,267.07,269.09,268.23,266.32,267.28
2,241.52,759.03,20.275,290.12,289.62,291.05,259.62,257.47,289.22,294.25,298.46,257.32,288.45,288.61,258.29,255.73,289.79,283.03,294.75,262.69,261.06,262,261.41,261.02,259.98,250.03,230.97,224.28,236.23,250.55,261.85,260.57,264.52,267.81,256.95,263.48,265.33,264.71,267.16,267.54,264.58,263.18,262.15,264.01,265.02,266,268.06,267.02,265.27,266.2
1,246.71,753.84,20.492,295.55,294.85,296.2,264.79,262.71,294.75,299.54,303.7,262.31,293.69,293.94,263.45,261.35,295.3,288.09,300.08,268.13,266.52,267.5,266.56,266.25,269.14,267.71,252.05,233.41,231.01,243.03,258.08,262.61,269.57,273.11,262.3,265.67,267.62,266.96,269.25,269.74,266.73,265.51,264.11,266.21,267.12,268.13,270.24,269.24,267.38,268.38
0,240.75,759.80,20.243,291.8,290.92,292.5,261.06,258.8,290.6,295.75,300.01,258.65,289.88,290.3,259.79,257.36,291.24,284.46,296.19,264.08,262.61,263.59,262.92,262.69,265.26,266.78,261.64,252.85,240.09,232.52,239.77,245.34,257.48,265.72,257.53,262.74,263.32,263.77,266.44,266.78,263.84,262.81,261.29,263.27,264.11,265.26,267.13,266.19,264.55,265.22
-1,242.82,757.73,20.330,294.48,293.83,295.27,263.69,261.59,293.56,298.59,302.78,261.37,292.71,292.94,262.27,260.27,294.29,287.09,298.96,267.21,265.56,266.5,265.64,265.34,268.63,271.25,269.65,262.88,251.42,238.97,238.56,241.07,254.71,264.96,258.57,263.91,266.15,265.68,268.05,268.43,265.45,264.55,262.95,264.98,265.79,266.9,268.94,268.11,266.06,266.97
-2,245.68,754.87,20.450,293.54,292.84,294.37,262.84,260.69,292.59,297.63,301.89,260.41,291.84,291.99,261.45,259.23,293.29,286.27,298.04,266.09,264.49,265.46,264.7,264.4,267.76,270.88,270.6,267.21,263.73,252.76,240.33,229.9,239.27,254.03,252.02,261.98,266.24,265.4,267.81,268.31,265.23,264.25,262.67,264.67,265.51,266.68,268.63,267.78,266.04,266.71
-3,246.71,753.84,20.492,297.48,297.02,298.36,266.65,264.72,296.75,301.72,305.79,264.17,295.63,295.73,265.17,263.05,297.35,290.03,302.07,270.16,268.73,269.48,268.57,268.1,271.83,274.73,274.95,271.91,272.11,267.11,255.49,235.78,233.1,245.25,247.03,260.65,268.15,268.74,270.9,271.65,268.4,267.58,265.74,267.79,268.56,269.85,271.9,271.05,269.13,269.99
-4,247.44,753.11,20.523,293.14,292.48,293.89,262.47,260.31,292.16,297.3,301.49,260.13,291.41,291.77,261.22,258.78,292.76,285.73,297.58,265.79,264.1,265.08,264.35,264.05,267.15,270.43,270.26,267.48,268.22,266.55,260.23,239.98,224.24,224.25,224.33,246.8,260.14,263.86,267.51,267.94,265,264.07,262.49,264.52,265.24,266.5,268.36,267.54,265.75,266.47
-5,245.70,754.85,20.450,294.31,293.62,295.07,263.64,261.44,293.5,298.32,302.66,261.12,292.57,292.75,262.21,260,294.11,287,298.78,266.88,265.29,266.16,265.4,265.07,268.56,271.57,271.51,268.79,269.39,268.66,266.67,250.85,233.14,217.2,200.11,219.69,244.19,258.32,267.36,269.08,266.24,265.52,263.76,265.94,266.67,267.76,269.86,268.96,266.99,267.89
-6,243.57,756.98,20.361,291.92,291.27,292.74,261.39,259.18,291.16,296.05,300.25,258.96,290.25,290.63,260.14,257.53,291.64,284.76,296.46,264.6,262.97,263.87,263.2,262.96,266.08,269.39,268.87,266.32,266.99,266.72,265.87,251.99,234.91,216.21,188.06,189.47,209.41,232.8,255.52,265.94,264.67,264.09,262.36,264.49,265.28,266.28,268.37,267.5,265.59,266.34
